user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
coco224466,6974782710108521477,6977625126338710789,He really did the 🦗🦟#happydog #puppy #dog #funnyvideo #animals #foryou #foryoupage #fypシ #dogsoftiktok #viral #fypage,1624604959,10,https://www.tiktok.com/@coco224466/video/6977625126338710789?lang=en,197100,17900,7651,2100000
shinenigans,6820000573669721089,6959495836594130177,🪐☄️🚀👽 #art #satisfying #galaxy #customsneakers #smallbussiness #foryou #nikeairforce1,1620383898,9,https://www.tiktok.com/@shinenigans/video/6959495836594130177?lang=en,670,11,4,52400
geraldinosaurawr,75969775901782016,6960893668437839105,Thanks for coming Jamal,1620709357,49,https://www.tiktok.com/@geraldinosaurawr/video/6960893668437839105?lang=en,28300,237,256,321100
jr.pom,6730198956142347266,6964618218732326146,🤙🏻🤙🏻 #petstiktok #pomeranian #dogsfavoritesong #dogsofticktok #puppyremix  #doggies,1621576545,8,https://www.tiktok.com/@jr.pom/video/6964618218732326146?lang=en,3204,332,40,105300
obujbalika333,6923227315573605378,6961741764323478786,i love this💗💗💗#sany0444 #obujbalika333 #foryoupage #foryou,1620906818,18,https://www.tiktok.com/@obujbalika333/video/6961741764323478786?lang=en,1100,35,0,47300
granolayodas,6622133589046837250,6967200368015052034,the best brown sugar pancakes👍🏻,1622177749,10,https://www.tiktok.com/@granolayodas/video/6967200368015052034?lang=en,12300,36,38,408500
legion_of_racers,6917386996785398786,6977234485070843138,2 weeks to go! #whattoplay #gaming #assettocorsa #fyp #foryou,1624513999,15,https://www.tiktok.com/@legion_of_racers/video/6977234485070843138?lang=en,1314,6,7,30500
avaping1228,6932051977066382342,6961387488451562757,#tiktok #fyp #strong #dogtiktok #fouyou #dogs,1620824334,15,https://www.tiktok.com/@avaping1228/video/6961387488451562757?lang=en,1200000,129000,44600,18200000
zihao_food,6756991684397859841,6978000545390791937,#bakkutteh #sgfoodie #sgfood #sgeats #fy,1624692362,9,https://www.tiktok.com/@zihao_food/video/6978000545390791937?lang=en,549,21,13,23600
dasmondkoh,6610373019491041281,6978130476246584577,Movie Time! #水漾少年 #VictoryLap  @xubinishere,1624722613,15,https://www.tiktok.com/@dasmondkoh/video/6978130476246584577?lang=en,466,4,14,26200
light_show_shines_creed,6827402674172298245,6963663704973987073,#shuffledance #shuffle #шаффл #шафлтанец,1621354306,11,https://www.tiktok.com/@light_show_shines_creed/video/6963663704973987073?lang=en,1800000,31900,6867,27900000
yeoshinoya,6895014722467595266,6978450340865707266,doing trends w my dog... #fyp #foryoupage #tiktoksg,1624797087,10,https://www.tiktok.com/@yeoshinoya/video/6978450340865707266?lang=en,2494,8,24,24700
akagisg,6859976421150884866,6978623158098070785,"4 kills with a nasty spray xfer, catch me live @ twitch.tv/akagisg #whattoplay #tiktoksg #valorant #fyp #gamer #valorantclip #TeamResurrectSG",1624837330,24,https://www.tiktok.com/@akagisg/video/6978623158098070785?lang=en,641,0,18,18900
_nrhamizah,6858765827644195841,6978358167877061915,Tetap kuat 🥀#strong#vivoSuperTime#PepsiMYxBLACKPINK#fypdoesntwork#fypシ#fyp#fypsounds#hargai#jiwang#fypdong#masukberandafyp#rindu#missyou,1624775627,14,https://www.tiktok.com/@_nrhamizah/video/6978358167877061915?lang=en,615,55,15,3581
sxnfloxerhxnnyoxoxo,6901559798548333570,6947835156963118337,I added water btw :) ty this is how to make ur squishy sound better for asmr #asmr #squishy #fun #soap #and #water,1617668939,15,https://www.tiktok.com/@sxnfloxerhxnnyoxoxo/video/6947835156963118337?lang=en,5419,55,245,71300
duomedoll,6821906288823436290,6957554546730224898,"Brother, I just don't understand how you achieved such a high popularity?  Can you tell me? 🤣@khaby.lame   #khabylane .  #Khaby #Manual #Clay",1619931907,40,https://www.tiktok.com/@duomedoll/video/6957554546730224898?lang=en,45000,123,1057,679400
brave_dog521,6945077289450226693,6961964296104430853,#dog #fyp #foryou guess the end?,1620958633,9,https://www.tiktok.com/@brave_dog521/video/6961964296104430853?lang=en,937200,28600,23200,25300000
gmkhan738,6776824836452271106,6960051084391910657,Reply to @fitriisnaeni8 #নড়িয়া #নড়িয়ার_ছেলে #নড়িয়া_শরীয়তপুর,1620513191,14,https://www.tiktok.com/@gmkhan738/video/6960051084391910657?lang=en,585,54,34,88200
tuzelitydance,6713225672510309382,6962439460684401922,Monster 😎💥 Neon Mode 🌌 Как он научился 😱🔥 #tuzelity #shuffle,1621069263,15,https://www.tiktok.com/@tuzelitydance/video/6962439460684401922?lang=en,8300000,150200,55600,94900000
lil_tiger8,6848591473077388294,6955140460394319105,,1619369833,9,https://www.tiktok.com/@lil_tiger8/video/6955140460394319105?lang=en,268200,38400,3122,11100000
